D:\Cambridge\Election2007\School\Wednesday\School Ballot Allocation Report


000101-00-0003: Fantini, Alfred B.
000201-00-0067: Fantini, Alfred B.
000201-00-0068: Schuster, Luc
000201-00-0072: INVALID
000201-00-0073: Tauber, Nancy
000201-00-0075: Fantini, Alfred B.
000201-00-0076: EXHAUSTED PILE
000201-00-0077: EXHAUSTED PILE
000201-00-0080: EXHAUSTED PILE
000201-00-0083: EXHAUSTED PILE
000201-00-0084: EXHAUSTED PILE
000201-00-0087: Schuster, Luc
000201-00-0089: Fantini, Alfred B.
000201-00-0091: Nolan, Patricia M.
000201-00-0092: Fantini, Alfred B.
000201-00-0095: Tauber, Nancy
000201-00-0096: Nolan, Patricia M.
000201-00-0099: Tauber, Nancy
000201-00-0101: EXHAUSTED PILE
000201-00-0103: Schuster, Luc
000201-00-0104: Nolan, Patricia M.
000201-00-0106: EXHAUSTED PILE
000201-00-0108: EXHAUSTED PILE
000201-00-0111: McGovern, Marc C.
000201-00-0113: Tauber, Nancy
000201-00-0114: EXHAUSTED PILE
000201-00-0115: Grassi, Joseph G.
000201-00-0116: EXHAUSTED PILE
000201-00-0119: EXHAUSTED PILE
000201-00-0122: EXHAUSTED PILE
000201-00-0125: EXHAUSTED PILE
000201-00-0126: EXHAUSTED PILE
000201-00-0128: EXHAUSTED PILE
000201-00-0129: Grassi, Joseph G.
000201-00-0132: EXHAUSTED PILE
000201-00-0133: Grassi, Joseph G.
000201-00-0136: INVALID
000201-00-0137: EXHAUSTED PILE
000201-00-0140: EXHAUSTED PILE
000201-00-0141: Nolan, Patricia M.
000201-00-0144: Nolan, Patricia M.
000201-00-0147: EXHAUSTED PILE
000201-00-0148: EXHAUSTED PILE
000201-00-0150: Grassi, Joseph G.
000201-00-0151: EXHAUSTED PILE
000201-00-0155: Nolan, Patricia M.
000201-00-0156: Grassi, Joseph G.
000201-00-0159: Fantini, Alfred B.
000201-00-0160: Nolan, Patricia M.
000201-00-0163: Schuster, Luc
000201-00-0164: Fantini, Alfred B.
000201-00-0167: EXHAUSTED PILE
000201-00-0168: Grassi, Joseph G.
000201-00-0171: Grassi, Joseph G.
000201-00-0173: Fantini, Alfred B.
000201-00-0174: EXHAUSTED PILE
000201-00-0176: Fantini, Alfred B.
000201-00-0178: Grassi, Joseph G.
000201-00-0181: EXHAUSTED PILE
000201-00-0182: Schuster, Luc
000201-00-0185: Schuster, Luc
000201-00-0186: EXHAUSTED PILE
000201-00-0189: EXHAUSTED PILE
000201-00-0190: McGovern, Marc C.
000201-00-0193: Grassi, Joseph G.
000201-00-0194: EXHAUSTED PILE
000201-00-0195: Schuster, Luc
000201-00-0198: EXHAUSTED PILE
000201-00-0201: EXHAUSTED PILE
000201-00-0202: EXHAUSTED PILE
000201-00-0205: EXHAUSTED PILE
000201-00-0207: Fantini, Alfred B.
000201-00-0209: Nolan, Patricia M.
000201-00-0210: EXHAUSTED PILE
000201-00-0213: Fantini, Alfred B.
000201-00-0214: EXHAUSTED PILE
000201-00-0216: EXHAUSTED PILE
000201-00-0218: Fantini, Alfred B.
000201-00-0220: EXHAUSTED PILE
000201-00-0222: EXHAUSTED PILE
000201-00-0223: EXHAUSTED PILE
000201-00-0227: Schuster, Luc
000201-00-0229: Fantini, Alfred B.
000201-00-0231: Tauber, Nancy
000201-00-0232: EXHAUSTED PILE
000201-00-0234: Nolan, Patricia M.
000201-00-0237: Tauber, Nancy
000201-00-0238: EXHAUSTED PILE
000201-00-0241: EXHAUSTED PILE
000201-00-0243: EXHAUSTED PILE
000201-00-0244: EXHAUSTED PILE
000201-00-0247: Schuster, Luc
000201-00-0248: EXHAUSTED PILE
000201-00-0250: EXHAUSTED PILE
000201-00-0251: EXHAUSTED PILE
000201-00-0253: EXHAUSTED PILE
000201-00-0256: EXHAUSTED PILE
000201-00-0259: Fantini, Alfred B.
000201-00-0260: EXHAUSTED PILE
000201-00-0262: Grassi, Joseph G.
000201-00-0264: EXHAUSTED PILE
000201-00-0266: EXHAUSTED PILE
000201-00-0268: EXHAUSTED PILE
000201-00-0269: EXHAUSTED PILE
000201-00-0271: EXHAUSTED PILE
000201-00-0273: EXHAUSTED PILE
000201-00-0277: EXHAUSTED PILE
000201-00-0279: EXHAUSTED PILE
000201-00-0280: EXHAUSTED PILE
000201-00-0282: Grassi, Joseph G.
000201-00-0285: EXHAUSTED PILE
000201-00-0286: EXHAUSTED PILE
000201-00-0288: EXHAUSTED PILE
000201-00-0291: McGovern, Marc C.
000201-00-0292: EXHAUSTED PILE
000201-00-0295: Schuster, Luc
000201-00-0297: EXHAUSTED PILE
000201-00-0299: EXHAUSTED PILE
000201-00-0301: EXHAUSTED PILE
000201-00-0303: Fantini, Alfred B.
000201-00-0304: Nolan, Patricia M.
000201-00-0307: Fantini, Alfred B.
000201-00-0309: Schuster, Luc
000201-00-0311: Fantini, Alfred B.
000201-00-0313: EXHAUSTED PILE
000201-00-0314: EXHAUSTED PILE
000201-00-0317: EXHAUSTED PILE
000201-00-0318: EXHAUSTED PILE
000201-00-0320: EXHAUSTED PILE
000201-00-0323: EXHAUSTED PILE
000201-00-0324: Tauber, Nancy
000201-00-0327: EXHAUSTED PILE
000201-00-0329: Schuster, Luc
000201-00-0331: EXHAUSTED PILE
000201-00-0333: EXHAUSTED PILE
000201-00-0335: EXHAUSTED PILE
000201-00-0337: EXHAUSTED PILE
000201-00-0340: EXHAUSTED PILE
000201-00-0342: EXHAUSTED PILE
000201-00-0344: McGovern, Marc C.
000201-00-0345: Grassi, Joseph G.
000201-00-0347: Fantini, Alfred B.
000201-00-0349: Fantini, Alfred B.
000201-00-0352: Nolan, Patricia M.
000201-00-0354: Grassi, Joseph G.
000201-00-0356: EXHAUSTED PILE
000201-00-0357: EXHAUSTED PILE
000201-00-0359: Schuster, Luc
000201-00-0361: EXHAUSTED PILE
000201-00-0363: EXHAUSTED PILE
000201-00-0364: EXHAUSTED PILE
000201-00-0368: EXHAUSTED PILE
000201-00-0370: EXHAUSTED PILE
000201-00-0372: Schuster, Luc
000201-00-0374: EXHAUSTED PILE
000201-00-0376: EXHAUSTED PILE
000201-00-0377: EXHAUSTED PILE
000201-00-0380: EXHAUSTED PILE
000201-00-0381: Grassi, Joseph G.
000201-00-0382: EXHAUSTED PILE
000201-00-0385: Grassi, Joseph G.
000201-00-0388: Grassi, Joseph G.
000201-00-0390: EXHAUSTED PILE
000201-00-0391: Schuster, Luc
000201-00-0393: Grassi, Joseph G.
000201-00-0395: EXHAUSTED PILE
000201-00-0397: EXHAUSTED PILE
000201-00-0398: EXHAUSTED PILE
000201-00-0401: McGovern, Marc C.
000201-00-0402: INVALID
000201-00-0403: EXHAUSTED PILE
000201-00-0406: EXHAUSTED PILE
000201-00-0408: Grassi, Joseph G.
000201-00-0411: Tauber, Nancy
000201-00-0413: Nolan, Patricia M.
000201-00-0415: EXHAUSTED PILE
000201-00-0417: Fantini, Alfred B.
000201-00-0419: EXHAUSTED PILE
000201-00-0421: INVALID
000201-00-0423: Grassi, Joseph G.
000201-00-0424: Tauber, Nancy
000201-00-0426: McGovern, Marc C.
000201-00-0429: EXHAUSTED PILE
000201-00-0431: EXHAUSTED PILE
000201-00-0432: EXHAUSTED PILE
000201-00-0435: Nolan, Patricia M.
000201-00-0436: EXHAUSTED PILE
000201-00-0438: EXHAUSTED PILE
000201-00-0440: Grassi, Joseph G.
000201-00-0443: McGovern, Marc C.
000201-00-0444: EXHAUSTED PILE
000201-00-0446: Grassi, Joseph G.
000201-00-0449: Grassi, Joseph G.
000201-00-0450: McGovern, Marc C.
000201-00-0452: EXHAUSTED PILE
000201-00-0454: EXHAUSTED PILE
000201-00-0456: EXHAUSTED PILE
000201-00-0457: Nolan, Patricia M.
000201-00-0460: EXHAUSTED PILE
000201-00-0461: EXHAUSTED PILE
000201-00-0464: EXHAUSTED PILE
000201-00-0466: Grassi, Joseph G.
000201-00-0468: Schuster, Luc
000201-00-0469: EXHAUSTED PILE
000201-00-0472: EXHAUSTED PILE
000201-00-0474: Tauber, Nancy
000201-00-0475: EXHAUSTED PILE
000201-00-0477: McGovern, Marc C.
000201-00-0480: EXHAUSTED PILE
000201-00-0481: EXHAUSTED PILE
000201-00-0483: Schuster, Luc
000201-00-0485: Grassi, Joseph G.
000201-00-0487: Grassi, Joseph G.
000201-00-0489: INVALID
000201-00-0491: Tauber, Nancy
000201-00-0493: EXHAUSTED PILE
000201-00-0494: Nolan, Patricia M.
000201-00-0496: Schuster, Luc
000201-00-0499: EXHAUSTED PILE
000201-00-0500: EXHAUSTED PILE
000201-00-0501: EXHAUSTED PILE
000201-00-0503: McGovern, Marc C.
000201-00-0505: Nolan, Patricia M.
000201-00-0506: Schuster, Luc
000201-00-0508: McGovern, Marc C.
000201-00-0510: Fantini, Alfred B.
000201-00-0514: EXHAUSTED PILE
000201-00-0515: Grassi, Joseph G.
000201-00-0516: EXHAUSTED PILE
000201-00-0518: EXHAUSTED PILE
000201-00-0522: Fantini, Alfred B.
000201-00-0523: EXHAUSTED PILE
000201-00-0525: EXHAUSTED PILE
000201-00-0527: Nolan, Patricia M.
000201-00-0529: Fantini, Alfred B.
000201-00-0530: EXHAUSTED PILE
000201-00-0533: EXHAUSTED PILE
000201-00-0536: EXHAUSTED PILE
000201-00-0538: EXHAUSTED PILE
000201-00-0541: EXHAUSTED PILE
000201-00-0542: Fantini, Alfred B.
000201-00-0545: INVALID
000201-00-0546: EXHAUSTED PILE
000201-00-0550: EXHAUSTED PILE
000201-00-0551: EXHAUSTED PILE
000201-00-0552: Grassi, Joseph G.
000201-00-0554: Tauber, Nancy
000201-00-0556: EXHAUSTED PILE
000201-00-0558: EXHAUSTED PILE
000201-00-0561: Schuster, Luc
000201-00-0562: Grassi, Joseph G.
000201-00-0564: Nolan, Patricia M.
000201-00-0568: INVALID
000201-00-0569: EXHAUSTED PILE
000201-00-0571: Tauber, Nancy
000201-00-0573: McGovern, Marc C.
000201-00-0575: Schuster, Luc
000201-00-0577: Fantini, Alfred B.
000201-00-0580: Tauber, Nancy
000201-00-0582: EXHAUSTED PILE
000201-00-0584: EXHAUSTED PILE
000201-00-0586: McGovern, Marc C.
000201-00-0587: Grassi, Joseph G.
000201-00-0589: EXHAUSTED PILE
000201-00-0592: EXHAUSTED PILE
000201-00-0594: EXHAUSTED PILE
000201-00-0596: Tauber, Nancy
000201-00-0597: EXHAUSTED PILE
000201-00-0599: EXHAUSTED PILE
000201-00-0600: McGovern, Marc C.
000201-00-0602: EXHAUSTED PILE
000201-00-0604: McGovern, Marc C.
000201-00-0607: EXHAUSTED PILE
000201-00-0609: EXHAUSTED PILE
000201-00-0610: EXHAUSTED PILE
000201-00-0612: EXHAUSTED PILE
000201-00-0614: EXHAUSTED PILE
000201-00-0617: EXHAUSTED PILE
000201-00-0618: EXHAUSTED PILE
000201-00-0621: Nolan, Patricia M.
000201-00-0623: EXHAUSTED PILE
000201-00-0624: EXHAUSTED PILE
000201-00-0627: EXHAUSTED PILE
000201-00-0628: EXHAUSTED PILE
000201-00-0630: Grassi, Joseph G.
000201-00-0633: Grassi, Joseph G.
000201-00-0634: Schuster, Luc
000201-00-0636: EXHAUSTED PILE
000201-00-0639: EXHAUSTED PILE
000201-00-0641: McGovern, Marc C.
000201-00-0643: EXHAUSTED PILE
000201-00-0645: Schuster, Luc
000201-00-0647: EXHAUSTED PILE
000201-00-0649: Schuster, Luc
000201-00-0651: EXHAUSTED PILE
000201-00-0653: McGovern, Marc C.
000201-00-0654: Grassi, Joseph G.
000201-00-0657: Grassi, Joseph G.
000201-00-0659: Grassi, Joseph G.
000201-00-0661: EXHAUSTED PILE
000201-00-0663: EXHAUSTED PILE
000201-00-0665: EXHAUSTED PILE
000201-00-0666: EXHAUSTED PILE
000201-00-0668: EXHAUSTED PILE
000201-00-0669: Grassi, Joseph G.
000201-00-0671: Grassi, Joseph G.
000201-00-0673: EXHAUSTED PILE
000201-00-0674: EXHAUSTED PILE
000201-00-0675: INVALID
000201-00-0677: Schuster, Luc
000201-00-0680: Tauber, Nancy
000201-00-0683: Tauber, Nancy
000201-00-0685: EXHAUSTED PILE
000201-00-0687: EXHAUSTED PILE
000201-00-0689: EXHAUSTED PILE
000201-00-0691: EXHAUSTED PILE
000201-00-0692: EXHAUSTED PILE
000201-00-0694: Fantini, Alfred B.
000201-00-0695: EXHAUSTED PILE
000201-00-0699: Nolan, Patricia M.
000201-00-0701: EXHAUSTED PILE
000201-00-0703: EXHAUSTED PILE
000201-00-0705: EXHAUSTED PILE
000201-00-0706: Tauber, Nancy
000201-00-0709: Schuster, Luc
000201-00-0711: INVALID
000201-00-0712: EXHAUSTED PILE
000201-00-0713: EXHAUSTED PILE
000201-00-0715: INVALID
000201-00-0718: EXHAUSTED PILE
000201-00-0720: Grassi, Joseph G.
000201-00-0723: EXHAUSTED PILE
000201-00-0724: EXHAUSTED PILE
000201-00-0725: Nolan, Patricia M.
000201-00-0727: EXHAUSTED PILE
000202-00-0003: Tauber, Nancy
000202-00-0005: EXHAUSTED PILE
000202-00-0006: Tauber, Nancy
000202-00-0008: Tauber, Nancy
000202-00-0011: Grassi, Joseph G.
000202-00-0012: Nolan, Patricia M.
000202-00-0014: Grassi, Joseph G.
000203-00-0003: Nolan, Patricia M.
000203-00-0005: EXHAUSTED PILE
000203-00-0006: Fantini, Alfred B.
000203-00-0008: Nolan, Patricia M.
000203-00-0011: McGovern, Marc C.
000203-00-0013: Fantini, Alfred B.
000203-00-0014: INVALID
000203-00-0016: Nolan, Patricia M.
000203-00-0019: Grassi, Joseph G.
000203-00-0021: Schuster, Luc
000203-00-0022: Schuster, Luc
000203-00-0025: Nolan, Patricia M.
000203-00-0028: Tauber, Nancy
000203-00-0030: Nolan, Patricia M.
000203-00-0032: Fantini, Alfred B.
000203-00-0034: Nolan, Patricia M.
000203-00-0037: Schuster, Luc
000203-00-0038: Grassi, Joseph G.
000203-00-0041: Tauber, Nancy
000203-00-0043: Fantini, Alfred B.
000203-00-0045: Nolan, Patricia M.
000203-00-0047: EXHAUSTED PILE
000203-00-0048: Nolan, Patricia M.
000301-00-0002: Fantini, Alfred B.
000301-00-0003: Nolan, Patricia M.
000301-00-0005: Fantini, Alfred B.
000301-00-0007: Grassi, Joseph G.
000301-00-0009: Fantini, Alfred B.
000301-00-0011: Fantini, Alfred B.
000301-00-0012: Fantini, Alfred B.
000301-00-0014: Grassi, Joseph G.
000301-00-0017: Fantini, Alfred B.
000301-00-0018: Grassi, Joseph G.
000301-00-0020: Fantini, Alfred B.
000301-00-0023: EXHAUSTED PILE
000301-00-0025: Fantini, Alfred B.
000301-00-0026: Grassi, Joseph G.
000301-00-0029: Grassi, Joseph G.
000301-00-0030: Tauber, Nancy
000301-00-0033: Fantini, Alfred B.
000301-00-0034: Schuster, Luc
000301-00-0037: Nolan, Patricia M.
000301-00-0038: Grassi, Joseph G.
000301-00-0040: Grassi, Joseph G.
000301-00-0042: Fantini, Alfred B.
000301-00-0044: Grassi, Joseph G.
000301-00-0047: Grassi, Joseph G.
000301-00-0049: Grassi, Joseph G.
000301-00-0050: McGovern, Marc C.
000301-00-0053: Fantini, Alfred B.
000301-00-0055: Fantini, Alfred B.
000301-00-0057: Schuster, Luc
000301-00-0058: Grassi, Joseph G.
000301-00-0061: Fantini, Alfred B.
000301-00-0062: McGovern, Marc C.
000301-00-0065: Fantini, Alfred B.
000301-00-0066: Nolan, Patricia M.
000301-00-0069: McGovern, Marc C.
000301-00-0070: McGovern, Marc C.
000301-00-0072: Schuster, Luc
000301-00-0074: Grassi, Joseph G.
000301-00-0077: Grassi, Joseph G.
000301-00-0078: McGovern, Marc C.
000301-00-0081: EXHAUSTED PILE
000301-00-0083: Nolan, Patricia M.
000301-00-0084: EXHAUSTED PILE
000301-00-0086: Fantini, Alfred B.
000301-00-0087: Fantini, Alfred B.
000301-00-0090: Fantini, Alfred B.
000301-00-0091: EXHAUSTED PILE
000301-00-0094: Fantini, Alfred B.
000301-00-0097: Grassi, Joseph G.
000301-00-0099: Tauber, Nancy
000301-00-0100: Schuster, Luc
000301-00-0102: McGovern, Marc C.
000301-00-0104: McGovern, Marc C.
000301-00-0106: Schuster, Luc
000301-00-0109: Fantini, Alfred B.
000301-00-0111: Grassi, Joseph G.
000301-00-0113: EXHAUSTED PILE
000301-00-0114: McGovern, Marc C.
000301-00-0117: Fantini, Alfred B.
000301-00-0119: Nolan, Patricia M.
000301-00-0121: McGovern, Marc C.
000301-00-0123: EXHAUSTED PILE
000301-00-0126: Tauber, Nancy
000301-00-0127: Grassi, Joseph G.
000301-00-0130: Grassi, Joseph G.
000301-00-0132: Grassi, Joseph G.
000301-00-0134: Grassi, Joseph G.
000301-00-0135: Fantini, Alfred B.
000301-00-0137: Fantini, Alfred B.
000301-00-0139: Fantini, Alfred B.
000301-00-0142: Fantini, Alfred B.
000301-00-0144: Tauber, Nancy
000301-00-0145: Fantini, Alfred B.
000301-00-0147: Fantini, Alfred B.
000301-00-0150: Fantini, Alfred B.
000301-00-0151: McGovern, Marc C.
000301-00-0153: Grassi, Joseph G.
000301-00-0155: Grassi, Joseph G.
000301-00-0156: Grassi, Joseph G.
000301-00-0159: Fantini, Alfred B.
000301-00-0161: Fantini, Alfred B.
000301-00-0163: Grassi, Joseph G.
000301-00-0165: Fantini, Alfred B.
000301-00-0167: Fantini, Alfred B.
000301-00-0168: Fantini, Alfred B.
000301-00-0171: Nolan, Patricia M.
000301-00-0172: Fantini, Alfred B.
000301-00-0175: INVALID
000301-00-0176: INVALID
000301-00-0178: Schuster, Luc
000301-00-0180: Fantini, Alfred B.
000301-00-0182: Nolan, Patricia M.
000301-00-0185: Schuster, Luc
000301-00-0186: INVALID
000301-00-0187: Fantini, Alfred B.
000301-00-0188: Fantini, Alfred B.
000301-00-0191: Fantini, Alfred B.
000301-00-0194: EXHAUSTED PILE
000301-00-0195: EXHAUSTED PILE
000301-00-0197: Fantini, Alfred B.
000301-00-0198: Fantini, Alfred B.
000301-00-0201: Fantini, Alfred B.
000301-00-0203: Grassi, Joseph G.
000301-00-0204: EXHAUSTED PILE
000301-00-0207: Nolan, Patricia M.
000301-00-0209: Schuster, Luc
000301-00-0212: Grassi, Joseph G.
000301-00-0214: Schuster, Luc
000301-00-0216: Fantini, Alfred B.
000301-00-0218: Fantini, Alfred B.
000301-00-0220: Fantini, Alfred B.
000301-00-0222: EXHAUSTED PILE
000301-00-0223: Fantini, Alfred B.
000301-00-0225: Grassi, Joseph G.
000301-00-0227: Fantini, Alfred B.
000301-00-0229: EXHAUSTED PILE
000301-00-0230: Fantini, Alfred B.
000301-00-0233: Grassi, Joseph G.
000301-00-0235: Fantini, Alfred B.
000301-00-0237: Grassi, Joseph G.
000301-00-0239: Fantini, Alfred B.
000301-00-0241: Nolan, Patricia M.
000301-00-0242: Fantini, Alfred B.
000301-00-0245: Grassi, Joseph G.
000301-00-0247: Grassi, Joseph G.
000301-00-0249: Fantini, Alfred B.
000301-00-0251: Fantini, Alfred B.
000301-00-0253: Nolan, Patricia M.
000301-00-0254: Fantini, Alfred B.
000301-00-0257: McGovern, Marc C.
000301-00-0258: Grassi, Joseph G.
000301-00-0260: Grassi, Joseph G.
000301-00-0262: Fantini, Alfred B.
000301-00-0265: Grassi, Joseph G.
000301-00-0267: Grassi, Joseph G.
000301-00-0269: Fantini, Alfred B.
000301-00-0271: Fantini, Alfred B.
000301-00-0273: Fantini, Alfred B.
000301-00-0274: Grassi, Joseph G.
000301-00-0276: EXHAUSTED PILE
000301-00-0279: Fantini, Alfred B.
000301-00-0280: Grassi, Joseph G.
000301-00-0283: Fantini, Alfred B.
000301-00-0284: Grassi, Joseph G.
000301-00-0286: Fantini, Alfred B.
000301-00-0288: EXHAUSTED PILE
000301-00-0290: EXHAUSTED PILE
000301-00-0293: Fantini, Alfred B.
000301-00-0295: Fantini, Alfred B.
000301-00-0297: Fantini, Alfred B.
000301-00-0299: Fantini, Alfred B.
000301-00-0300: Grassi, Joseph G.
000301-00-0302: Grassi, Joseph G.
000301-00-0306: Grassi, Joseph G.
000301-00-0307: Schuster, Luc
000301-00-0308: EXHAUSTED PILE
000301-00-0312: Fantini, Alfred B.
000301-00-0313: Fantini, Alfred B.
000301-00-0316: Grassi, Joseph G.
000301-00-0317: Grassi, Joseph G.
000301-00-0319: EXHAUSTED PILE
000301-00-0321: EXHAUSTED PILE
000301-00-0324: EXHAUSTED PILE
000301-00-0326: EXHAUSTED PILE
000301-00-0329: Fantini, Alfred B.
000301-00-0330: Fantini, Alfred B.
000301-00-0331: Fantini, Alfred B.
000301-00-0333: EXHAUSTED PILE
000301-00-0334: Grassi, Joseph G.
000301-00-0337: Grassi, Joseph G.
000301-00-0339: Fantini, Alfred B.
000301-00-0340: EXHAUSTED PILE
000301-00-0342: Tauber, Nancy
000301-00-0344: Fantini, Alfred B.
000301-00-0347: Nolan, Patricia M.
000301-00-0349: McGovern, Marc C.
000301-00-0350: Grassi, Joseph G.
000301-00-0352: Fantini, Alfred B.
000301-00-0355: Fantini, Alfred B.
000301-00-0356: McGovern, Marc C.
000301-00-0358: Fantini, Alfred B.
000301-00-0360: Fantini, Alfred B.
000301-00-0362: Fantini, Alfred B.
000301-00-0364: Fantini, Alfred B.
000301-00-0367: Grassi, Joseph G.
000301-00-0368: Fantini, Alfred B.
000301-00-0371: Fantini, Alfred B.
000301-00-0373: Grassi, Joseph G.
000301-00-0375: Grassi, Joseph G.
000301-00-0376: Fantini, Alfred B.
000301-00-0379: Grassi, Joseph G.
000301-00-0380: Grassi, Joseph G.
000301-00-0382: Fantini, Alfred B.
000301-00-0384: Nolan, Patricia M.
000301-00-0386: Nolan, Patricia M.
000301-00-0389: EXHAUSTED PILE
000301-00-0391: EXHAUSTED PILE
000301-00-0392: EXHAUSTED PILE
000301-00-0394: Fantini, Alfred B.
000301-00-0397: EXHAUSTED PILE
000301-00-0399: Grassi, Joseph G.
000301-00-0400: Grassi, Joseph G.
000301-00-0404: EXHAUSTED PILE
000301-00-0405: Grassi, Joseph G.
000301-00-0407: Nolan, Patricia M.
000301-00-0408: Grassi, Joseph G.
000301-00-0410: Fantini, Alfred B.
000301-00-0412: Grassi, Joseph G.
000301-00-0415: Nolan, Patricia M.
000301-00-0417: Grassi, Joseph G.
000301-00-0419: Nolan, Patricia M.
000301-00-0421: Grassi, Joseph G.
000301-00-0422: Fantini, Alfred B.
000301-00-0423: McGovern, Marc C.
000301-00-0425: Grassi, Joseph G.
000301-00-0427: McGovern, Marc C.
000301-00-0429: Schuster, Luc
000301-00-0432: Fantini, Alfred B.
000301-00-0435: Fantini, Alfred B.
000301-00-0437: Grassi, Joseph G.
000301-00-0438: Fantini, Alfred B.
000301-00-0440: Grassi, Joseph G.
000301-00-0443: EXHAUSTED PILE
000301-00-0445: Schuster, Luc
000301-00-0447: Tauber, Nancy
000301-00-0449: Grassi, Joseph G.
000301-00-0451: Nolan, Patricia M.
000301-00-0452: Grassi, Joseph G.
000301-00-0454: Grassi, Joseph G.
000301-00-0456: Grassi, Joseph G.
000301-00-0457: Fantini, Alfred B.
000301-00-0461: Grassi, Joseph G.
000301-00-0463: INVALID
000301-00-0466: Fantini, Alfred B.
000301-00-0467: Fantini, Alfred B.
000301-00-0468: Fantini, Alfred B.
000301-00-0469: INVALID
000301-00-0471: Fantini, Alfred B.
000301-00-0473: Fantini, Alfred B.
000301-00-0475: McGovern, Marc C.
000301-00-0477: Fantini, Alfred B.
000301-00-0481: Grassi, Joseph G.
000301-00-0482: Fantini, Alfred B.
000301-00-0484: Fantini, Alfred B.
000301-00-0487: Grassi, Joseph G.
000301-00-0489: Fantini, Alfred B.
000301-00-0490: Fantini, Alfred B.
000301-00-0492: Fantini, Alfred B.
000301-00-0493: Schuster, Luc
000301-00-0497: Fantini, Alfred B.
000301-00-0498: Grassi, Joseph G.
000301-00-0501: Fantini, Alfred B.
000301-00-0502: Grassi, Joseph G.
000301-00-0504: Fantini, Alfred B.
000301-00-0506: Fantini, Alfred B.
000301-00-0508: Fantini, Alfred B.
000301-00-0510: Nolan, Patricia M.
000301-00-0513: Grassi, Joseph G.
000301-00-0514: Grassi, Joseph G.
000301-00-0517: Fantini, Alfred B.
000301-00-0518: Fantini, Alfred B.
000301-00-0521: Fantini, Alfred B.
000301-00-0522: McGovern, Marc C.
000301-00-0525: Grassi, Joseph G.
000301-00-0527: Fantini, Alfred B.
000301-00-0529: Fantini, Alfred B.
000301-00-0530: McGovern, Marc C.
000301-00-0532: Tauber, Nancy
000301-00-0535: Fantini, Alfred B.
000301-00-0537: Fantini, Alfred B.
000301-00-0539: Fantini, Alfred B.
000301-00-0540: Schuster, Luc
000301-00-0542: Tauber, Nancy
000301-00-0545: Tauber, Nancy
000301-00-0546: Fantini, Alfred B.
000301-00-0548: Grassi, Joseph G.
000301-00-0551: Fantini, Alfred B.
000301-00-0552: McGovern, Marc C.
000301-00-0555: Tauber, Nancy
000301-00-0556: Fantini, Alfred B.
000301-00-0558: Fantini, Alfred B.
000301-00-0560: Fantini, Alfred B.
000301-00-0563: Tauber, Nancy
000301-00-0565: Grassi, Joseph G.
000301-00-0567: EXHAUSTED PILE
000301-00-0568: Fantini, Alfred B.
000301-00-0571: Fantini, Alfred B.
000301-00-0573: Grassi, Joseph G.
000301-00-0574: Schuster, Luc
000301-00-0576: Fantini, Alfred B.
000301-00-0579: Schuster, Luc
000301-00-0581: Fantini, Alfred B.
000301-00-0582: McGovern, Marc C.
000301-00-0583: Grassi, Joseph G.
000301-00-0586: McGovern, Marc C.
000301-00-0587: Fantini, Alfred B.
000301-00-0589: Schuster, Luc
000301-00-0592: Fantini, Alfred B.
000301-00-0594: Fantini, Alfred B.
000301-00-0597: Nolan, Patricia M.
000301-00-0599: EXHAUSTED PILE
000301-00-0601: Fantini, Alfred B.
000301-00-0602: Fantini, Alfred B.
000301-00-0603: Grassi, Joseph G.
000301-00-0606: EXHAUSTED PILE
000301-00-0607: EXHAUSTED PILE
000301-00-0608: Fantini, Alfred B.
000301-00-0609: Grassi, Joseph G.
000301-00-0611: EXHAUSTED PILE
000301-00-0614: Fantini, Alfred B.
000301-00-0615: Grassi, Joseph G.
000301-00-0617: Grassi, Joseph G.
000301-00-0620: Grassi, Joseph G.
000301-00-0624: Fantini, Alfred B.
000301-00-0626: Grassi, Joseph G.
000301-00-0628: Tauber, Nancy
000301-00-0630: Grassi, Joseph G.
000301-00-0631: Grassi, Joseph G.
000301-00-0634: Grassi, Joseph G.
000301-00-0636: EXHAUSTED PILE
000301-00-0638: Grassi, Joseph G.
000301-00-0639: Fantini, Alfred B.
000301-00-0642: Grassi, Joseph G.
000301-00-0644: Grassi, Joseph G.
000301-00-0645: Nolan, Patricia M.
000301-00-0648: Fantini, Alfred B.
000301-00-0650: Fantini, Alfred B.
000301-00-0652: Grassi, Joseph G.
000301-00-0654: Fantini, Alfred B.
000301-00-0656: Fantini, Alfred B.
000301-00-0657: Fantini, Alfred B.
000301-00-0659: Tauber, Nancy
000301-00-0661: Grassi, Joseph G.
000301-00-0663: Grassi, Joseph G.
000301-00-0666: Grassi, Joseph G.
000301-00-0667: Schuster, Luc
000301-00-0669: Schuster, Luc
000301-00-0671: Grassi, Joseph G.
000301-00-0674: Tauber, Nancy
000301-00-0676: Fantini, Alfred B.
000301-00-0678: Fantini, Alfred B.
000301-00-0680: Fantini, Alfred B.
000301-00-0682: Grassi, Joseph G.
000301-00-0684: Nolan, Patricia M.
000301-00-0686: Fantini, Alfred B.
000301-00-0688: Fantini, Alfred B.
000301-00-0689: Grassi, Joseph G.
000301-00-0692: Grassi, Joseph G.
000301-00-0694: Schuster, Luc
000301-00-0696: Fantini, Alfred B.
000301-00-0697: Fantini, Alfred B.
