D:\Cambridge\Election2003\Council\Prelim\Council Detail Report


NOV. 4, 2003 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA
Unofficial Election-Night Results Only

CANDIDATES:
	Bellew, Carole K.
	Davis, Henrietta
	DeBergalis, Matt S.
	Decker, Marjorie C.
	Dixon, Vincent Lawrence
	Galluccio, Anthony D.
	Greenwood, Dan J.
	Hall, Robert L., Sr.
	Kelley, Craig A.
	King, Ethridge A., Jr.
	LaTremouille, Robert J.
	Maher, David P.
	Murphy, Brian
	Pitkin, John
	Reeves, Kenneth E.
	Simmons, Denise
	Smith, Aimee Louise
	Sullivan, Michael A.
	Taymorberry, Laurie
	Toomey, Timothy J., Jr.
	Write-In 1
	Write-In 2
	Write-In 3
	Write-In 4
	Write-In 5
	Write-In 6
	Write-In 7
	Write-In 8
	Write-In 9

ELECTION RULES:
               System:  Choice Voting
       Threshold Type:  Droop
    Surplus Transfers:  Random, every nth ballot (Cambridge style)
                        Avoid exhausted ballots if possible
                        Elected immediately (after the 1st round)
    Simultaneous Drop:  Those with less than 50 votes
                 Ties:  1) Previous Round method
                        2) By election official
                        3) Random (by computer)

--------------------------------------------------
19,490 valid ballots.
Electing 9 candidates.
Winning threshold is 1950 votes.
There were 856 invalid ballots.
(20,346 total ballots processed.)
--------------------------------------------------



********************************************************************************


ROUND 1 -- Tally of 1st place votes.

CANDIDATE                   THIS ROUND          TOTAL  STATUS
Write-In 7                           0              0  DEFEATED -- 2nd round
Write-In 8                           0              0  DEFEATED -- 2nd round
Write-In 9                           0              0  DEFEATED -- 2nd round

EXHAUSTED PILE:                   +978           1940  
TOTALS:                              0          19490  



-- Decker, Marjorie C. has been ELECTED because s/he has met the threshold.
-- Reeves, Kenneth E. has been ELECTED because s/he has met the threshold.
-- Simmons, Denise has been ELECTED because s/he has met the threshold.
-- Maher, David P. has been ELECTED because s/he has met the threshold.


********************************************************************************


ELECTION COUNT SUCCESSFULLY COMPLETED





Wednesday, November 5, 2003 12:47 AM
ChoicePlus Pro -- Version 2.1
(c) 1993-2001 Voting Solutions -- All Rights Reserved
